0.00.019.395 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.021.349 I srv    load_model: loading model '/userdata/llama/models/SmolVLM-500M-Instruct-Q8_0.gguf'
0.00.667.214 W load_tensors: ffn up/down are swapped
0.00.722.571 I srv    load_model: loaded multimodal model, '/userdata/llama/models/mmproj-SmolVLM-500M-Instruct-Q8_0.gguf'
0.00.800.227 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.00.804.710 I srv  llama_server: model loaded
0.00.804.718 I srv  llama_server: listening on http://127.0.0.1:8088
0.02.368.110 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
1.03.046.093 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.396 (> 0.100 thold), f_keep = 0.391
1.03.050.560 I slot launch_slot_: id  3 | task 40 | processing task, is_child = 0
1.10.580.035 I slot print_timing: id  3 | task 40 | prompt eval time =    7427.48 ms /   149 tokens (   49.85 ms per token,    20.06 tokens per second)
1.10.580.047 I slot print_timing: id  3 | task 40 |        eval time =     101.91 ms /     3 tokens (   33.97 ms per token,    29.44 tokens per second)
1.10.580.048 I slot print_timing: id  3 | task 40 |       total time =    7529.38 ms /   152 tokens
1.10.580.051 I slot print_timing: id  3 | task 40 |    graphs reused =         10
1.10.580.086 I slot      release: id  3 | task 40 | stop processing: n_tokens = 151, truncated = 0
1.10.612.664 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.396 (> 0.100 thold), f_keep = 0.391
1.10.619.673 I slot launch_slot_: id  3 | task 45 | processing task, is_child = 0
1.18.187.680 I slot print_timing: id  3 | task 45 | prompt eval time =    7464.44 ms /   149 tokens (   50.10 ms per token,    19.96 tokens per second)
1.18.187.690 I slot print_timing: id  3 | task 45 |        eval time =     103.47 ms /     3 tokens (   34.49 ms per token,    28.99 tokens per second)
1.18.187.692 I slot print_timing: id  3 | task 45 |       total time =    7567.91 ms /   152 tokens
1.18.187.693 I slot print_timing: id  3 | task 45 |    graphs reused =         11
1.18.187.970 I slot      release: id  3 | task 45 | stop processing: n_tokens = 151, truncated = 0
1.18.220.463 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.396 (> 0.100 thold), f_keep = 0.391
1.18.227.465 I slot launch_slot_: id  3 | task 50 | processing task, is_child = 0
1.25.829.369 I slot print_timing: id  3 | task 50 | prompt eval time =    7509.25 ms /   149 tokens (   50.40 ms per token,    19.84 tokens per second)
1.25.829.384 I slot print_timing: id  3 | task 50 |        eval time =      92.54 ms /     3 tokens (   30.85 ms per token,    32.42 tokens per second)
1.25.829.385 I slot print_timing: id  3 | task 50 |       total time =    7601.79 ms /   152 tokens
1.25.829.388 I slot print_timing: id  3 | task 50 |    graphs reused =         12
1.25.829.426 I slot      release: id  3 | task 50 | stop processing: n_tokens = 151, truncated = 0
1.25.862.283 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.396 (> 0.100 thold), f_keep = 0.391
1.25.870.072 I slot launch_slot_: id  3 | task 55 | processing task, is_child = 0
1.33.426.178 I slot print_timing: id  3 | task 55 | prompt eval time =    7453.90 ms /   149 tokens (   50.03 ms per token,    19.99 tokens per second)
1.33.426.202 I slot print_timing: id  3 | task 55 |        eval time =     102.02 ms /     3 tokens (   34.01 ms per token,    29.41 tokens per second)
1.33.426.205 I slot print_timing: id  3 | task 55 |       total time =    7555.92 ms /   152 tokens
1.33.426.211 I slot print_timing: id  3 | task 55 |    graphs reused =         13
1.33.426.299 I slot      release: id  3 | task 55 | stop processing: n_tokens = 151, truncated = 0
1.33.458.958 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.396 (> 0.100 thold), f_keep = 0.391
1.33.466.868 I slot launch_slot_: id  3 | task 60 | processing task, is_child = 0
1.41.031.262 I slot print_timing: id  3 | task 60 | prompt eval time =    7474.11 ms /   149 tokens (   50.16 ms per token,    19.94 tokens per second)
1.41.031.273 I slot print_timing: id  3 | task 60 |        eval time =      90.09 ms /     3 tokens (   30.03 ms per token,    33.30 tokens per second)
1.41.031.274 I slot print_timing: id  3 | task 60 |       total time =    7564.21 ms /   152 tokens
1.41.031.276 I slot print_timing: id  3 | task 60 |    graphs reused =         14
1.41.031.313 I slot      release: id  3 | task 60 | stop processing: n_tokens = 151, truncated = 0
1.41.064.149 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.396 (> 0.100 thold), f_keep = 0.391
1.41.074.417 I slot launch_slot_: id  3 | task 65 | processing task, is_child = 0
1.48.627.715 I slot print_timing: id  3 | task 65 | prompt eval time =    7460.76 ms /   149 tokens (   50.07 ms per token,    19.97 tokens per second)
1.48.627.726 I slot print_timing: id  3 | task 65 |        eval time =      92.30 ms /     3 tokens (   30.77 ms per token,    32.50 tokens per second)
1.48.627.727 I slot print_timing: id  3 | task 65 |       total time =    7553.06 ms /   152 tokens
1.48.627.729 I slot print_timing: id  3 | task 65 |    graphs reused =         15
1.48.627.766 I slot      release: id  3 | task 65 | stop processing: n_tokens = 151, truncated = 0
1.48.660.419 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.396 (> 0.100 thold), f_keep = 0.391
1.48.667.664 I slot launch_slot_: id  3 | task 70 | processing task, is_child = 0
1.56.231.923 I slot print_timing: id  3 | task 70 | prompt eval time =    7485.97 ms /   149 tokens (   50.24 ms per token,    19.90 tokens per second)
1.56.231.934 I slot print_timing: id  3 | task 70 |        eval time =      78.12 ms /     3 tokens (   26.04 ms per token,    38.40 tokens per second)
1.56.231.936 I slot print_timing: id  3 | task 70 |       total time =    7564.09 ms /   152 tokens
1.56.231.938 I slot print_timing: id  3 | task 70 |    graphs reused =         16
1.56.231.975 I slot      release: id  3 | task 70 | stop processing: n_tokens = 151, truncated = 0
1.56.264.854 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.396 (> 0.100 thold), f_keep = 0.391
1.56.275.545 I slot launch_slot_: id  3 | task 75 | processing task, is_child = 0
2.03.767.523 I slot print_timing: id  3 | task 75 | prompt eval time =    7404.08 ms /   149 tokens (   49.69 ms per token,    20.12 tokens per second)
2.03.767.536 I slot print_timing: id  3 | task 75 |        eval time =      87.57 ms /     3 tokens (   29.19 ms per token,    34.26 tokens per second)
2.03.767.537 I slot print_timing: id  3 | task 75 |       total time =    7491.65 ms /   152 tokens
2.03.767.539 I slot print_timing: id  3 | task 75 |    graphs reused =         17
2.03.767.577 I slot      release: id  3 | task 75 | stop processing: n_tokens = 151, truncated = 0
2.03.780.970 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.396 (> 0.100 thold), f_keep = 0.391
2.03.791.498 I slot launch_slot_: id  3 | task 80 | processing task, is_child = 0
2.11.315.023 I slot print_timing: id  3 | task 80 | prompt eval time =    7430.73 ms /   149 tokens (   49.87 ms per token,    20.05 tokens per second)
2.11.315.034 I slot print_timing: id  3 | task 80 |        eval time =      92.47 ms /     3 tokens (   30.82 ms per token,    32.44 tokens per second)
2.11.315.036 I slot print_timing: id  3 | task 80 |       total time =    7523.20 ms /   152 tokens
2.11.315.037 I slot print_timing: id  3 | task 80 |    graphs reused =         18
2.11.315.072 I slot      release: id  3 | task 80 | stop processing: n_tokens = 151, truncated = 0
2.11.328.464 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.396 (> 0.100 thold), f_keep = 0.391
2.11.339.147 I slot launch_slot_: id  3 | task 85 | processing task, is_child = 0
2.18.911.850 I slot print_timing: id  3 | task 85 | prompt eval time =    7478.10 ms /   149 tokens (   50.19 ms per token,    19.92 tokens per second)
2.18.911.864 I slot print_timing: id  3 | task 85 |        eval time =      94.37 ms /     3 tokens (   31.46 ms per token,    31.79 tokens per second)
2.18.911.866 I slot print_timing: id  3 | task 85 |       total time =    7572.47 ms /   152 tokens
2.18.911.867 I slot print_timing: id  3 | task 85 |    graphs reused =         19
2.18.911.904 I slot      release: id  3 | task 85 | stop processing: n_tokens = 151, truncated = 0
2.18.944.915 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.396 (> 0.100 thold), f_keep = 0.391
2.18.955.200 I slot launch_slot_: id  3 | task 90 | processing task, is_child = 0
2.26.589.436 I slot print_timing: id  3 | task 90 | prompt eval time =    7529.37 ms /   149 tokens (   50.53 ms per token,    19.79 tokens per second)
2.26.589.448 I slot print_timing: id  3 | task 90 |        eval time =     104.64 ms /     3 tokens (   34.88 ms per token,    28.67 tokens per second)
2.26.589.449 I slot print_timing: id  3 | task 90 |       total time =    7634.01 ms /   152 tokens
2.26.589.451 I slot print_timing: id  3 | task 90 |    graphs reused =         20
2.26.589.486 I slot      release: id  3 | task 90 | stop processing: n_tokens = 151, truncated = 0
2.26.602.709 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.396 (> 0.100 thold), f_keep = 0.391
2.26.608.057 I slot launch_slot_: id  3 | task 95 | processing task, is_child = 0
2.34.154.770 I slot print_timing: id  3 | task 95 | prompt eval time =    7460.69 ms /   149 tokens (   50.07 ms per token,    19.97 tokens per second)
2.34.154.781 I slot print_timing: id  3 | task 95 |        eval time =      85.93 ms /     3 tokens (   28.64 ms per token,    34.91 tokens per second)
2.34.154.783 I slot print_timing: id  3 | task 95 |       total time =    7546.62 ms /   152 tokens
2.34.154.784 I slot print_timing: id  3 | task 95 |    graphs reused =         21
2.34.154.820 I slot      release: id  3 | task 95 | stop processing: n_tokens = 151, truncated = 0
